"code","date","GPM","OPM","NIM","EBITDA","cash","account_receviable","inventory","fixed_asset","invest","liq_asset","liq_liability","leverage","revenue","mkt_value","GOR"
1108,201009,4.31,-4.7,-5.74,217136,147567,757257,3676953,3100346,-52244,5132719,3003535,54.39,2538417,3055000,-0.0726
1108,201012,3.93,-5.28,-5.34,295059,158787,850432,3675848,3018760,-54878,5160282,2878726,54.51,3478436,3205000,-0.0417
1108,201103,1.62,-5.48,-7.66,28909,119660,969450,3679088,2947991,-20968,5248882,3118222,55.48,995565,3007000,0.2075
1108,201106,2.65,-4.21,-5.83,100124,128874,928589,3751448,2881871,-45275,5315286,3195057,55.9,2038348,2910000,0.2304
1108,201109,3.36,-3.3,-4.97,173839,101874,1036947,3775569,2830280,-66840,5604957,3362087,55.58,3149867,2513000,0.2409
1108,201112,4.19,-3.01,-3.41,309557,132123,1015767,3740369,2767814,-65750,5591979,2741995,54.44,4147198,2149000,0.1923
1108,201203,6.22,-1.74,12.67,248367,160144,907857,3794286,2698239,-31559,5602079,2487621,52.73,948413,2412000,-0.0474
1108,201206,7.96,0.02,6.95,392595,165517,1023679,3869022,2675512,-64359,5666723,2603159,53.34,2000980,2456000,-0.0183
1108,201209,7.88,0.05,5.31,527769,120130,851731,3815119,2649205,-137963,5438600,2385705,51.45,3004812,2590000,-0.0461
1108,201212,8.71,1.25,4.16,664861,105833,1000335,3765832,2603981,-175796,5453302,2366882,51.49,4190014,2703000,0.0103
1108,201303,12.61,8.16,5.31,196637,130408,1045837,3590014,2641827,-36131,5314198,2245153,50.05,1203671,2934000,0.2691
1108,201306,12.55,7.29,4.56,370079,146104,1056759,3706341,2573114,-54326,5583173,2282837,50.26,2325405,2914000,0.1621
1108,201309,12.71,7.2,4.52,550349,206989,1026929,3732588,2491616,-57525,5662222,2290430,49.53,3521208,3181000,0.1719
1108,201312,11.14,5.57,3.34,670566,216573,1135896,3627749,2435301,-84199,5593001,2236177,48.7,4869590,3395000,0.1622
1108,201403,13.65,8.44,5.62,195704,269002,1029806,3566335,2416387,-59864,5487153,2134938,46.9,1219347,3760000,0.013
1108,201406,14.64,9.44,8.77,476260,258546,1071232,3623617,2366025,-84725,5572577,2256891,47.77,2495607,3654000,0.0732
1108,201409,14.48,9.21,7.93,689642,217554,1056153,3647309,2306076,-104768,5556970,2103436,46.42,3732290,4047000,0.0599
1108,201412,14.55,9.35,7.23,913612,261107,1144239,3570708,2300176,-192747,5561570,2333817,44.82,5075583,4168000,0.0423
1108,201503,20.98,16.21,12.05,301256,241190,1070106,3544763,2243101,-27471,5442970,2135953,41.87,1286874,4452000,0.0554
1108,201506,21.96,16.93,11.73,635711,370011,1049816,3558046,2204299,-83661,5639539,2398310,43.98,2632599,4290000,0.0549
1108,201509,20.02,14.85,10.61,847325,291461,879669,3591614,2154830,-117711,5329690,2008351,40.51,3765704,4148000,0.009
1108,201512,18.05,12.43,9.22,1027894,220129,902836,3508275,2157348,-210429,5212763,1824743,38.32,5021353,4087000,-0.0107
1108,201603,19.16,13.36,10.48,213847,178494,733572,3598001,2092281,-12191,5199696,2034747,36.12,995636,4148000,-0.2263
1108,201606,18.27,12.65,9.25,428521,168359,834463,3586785,2020616,-19091,5257193,2342023,39.25,2104969,4087000,-0.2004
1108,201609,17.32,11.53,8.66,604984,139091,777657,3574757,1960320,-28317,5367970,2611678,38.83,3160477,3739000,-0.1607
1108,201612,15.58,10.03,7.41,735036,213090,779700,3624700,1899736,-38183,5360762,2604897,38.06,4251061,3691000,-0.1534
1108,201703,9.03,3.15,2.08,101671,179826,693168,3667754,1829796,-1276,5288809,2230857,36.77,894903,4027000,-0.1012
1108,201706,9.14,2.85,1.61,196809,215715,633502,3727010,1780734,-20364,5097864,2092893,38.05,1762458,3832000,-0.1627
1108,201709,7.91,1.54,0.8,262412,177918,605710,3781701,1708370,-20990,5086181,2005914,37.37,2592867,3521000,-0.1796
1108,201712,3.74,-2.92,-3,189652,251893,599362,3773847,1648561,-37853,5121071,1925148,38.81,3434454,3387000,-0.1921
1109,200803,19.09,9.31,21.42,168780,2000686,366424,405664,2148106,-59199,4326799,416422,10.81,583876,5621000,-0.0215
1109,200806,16.39,7.49,9.39,178457,1895898,338646,504354,2155989,-82556,4157436,546637,11.89,1144610,4612000,-0.0877
1109,200809,14.33,5.62,9.44,263226,1999314,388350,495080,2200088,-152608,3863323,372113,9.99,1739258,3325000,0.346
1109,200812,13.28,4.63,7.49,318100,2056079,448437,451587,2208269,-188389,3861876,350189,9.75,2384107,3437000,-0.0684
1109,200903,18.83,9.07,9.13,82115,2227110,368314,523055,2198706,-17539,3889117,310854,9.26,503196,3793000,-0.1382
1109,200906,19.06,8.95,7.45,181268,1709235,438617,513765,2130281,-58997,3560142,415357,10.63,1102185,3974000,-0.0371
1109,200909,18.62,8.31,7.56,255099,1515542,388352,534601,2109894,-67527,3543328,282851,8.63,1610052,4294000,-0.0743
