,label,code,AUC
0,0,2453,1.0
0,0,2455,1.0
0,0,2456,1.0
0,0,2458,1.0
0,0,2459,1.0
0,0,2460,1.0
0,0,2462,1.0
0,0,2464,1.0
0,0,2465,1.0
0,0,2466,1.0
0,0,2468,1.0
0,0,2472,1.0
0,0,2474,1.0
0,0,2478,1.0
0,0,2480,1.0
0,0,2481,1.0
0,0,2482,1.0
0,0,2483,1.0
0,0,2485,1.0
0,0,2488,1.0
0,0,2497,1.0
0,0,2499,1.0
0,0,2504,1.0
0,0,2505,1.0
0,0,2506,1.0
0,0,2509,1.0
0,0,2515,1.0
0,0,2516,1.0
0,0,2520,1.0
0,0,2524,1.0
0,0,2527,1.0
0,0,2530,1.0
0,0,2534,1.0
0,0,2535,1.0
0,0,2536,1.0
0,0,2537,1.0
0,0,2538,1.0
0,0,2539,1.0
0,0,2543,1.0
0,0,2546,1.0
0,0,2603,1.0
0,0,2607,1.0
0,0,2608,1.0
0,0,2609,1.0
0,0,2610,1.0
0,0,2611,1.0
0,0,2613,1.0
0,0,2615,1.0
0,0,2617,1.0
0,0,2618,1.0
0,0,2701,1.0
0,0,2702,1.0
0,0,2705,1.0
0,0,2707,1.0
0,0,2901,1.0
0,0,2903,1.0
0,0,2908,1.0
0,0,2910,1.0
0,0,2913,1.0
0,0,2915,1.0
0,0,3002,1.0
0,0,3003,1.0
0,0,3004,1.0
0,0,3006,1.0
0,0,3010,1.0
0,0,3014,1.0
0,0,3015,1.0
0,0,3016,1.0
0,0,3022,1.0
0,0,3023,1.0
0,0,3025,1.0
0,0,3027,1.0
0,0,3028,1.0
0,0,3032,1.0
0,0,3033,1.0
0,0,3036,1.0
0,0,3037,1.0
0,0,3041,1.0
0,0,3042,1.0
0,0,3045,1.0
0,0,3048,1.0
0,0,3051,1.0
0,0,3052,1.0
0,0,3054,1.0
0,0,3055,1.0
0,0,3056,1.0
0,0,3057,1.0
0,0,3058,1.0
0,0,3059,1.0
0,0,3060,1.0
0,0,3062,1.0
0,0,3094,1.0
0,0,3130,1.0
0,0,3189,1.0
0,0,3209,1.0
0,0,3231,1.0
0,0,3296,1.0
0,0,3356,1.0
0,0,3416,1.0
0,0,3443,1.0
0,0,3450,1.0
0,0,3494,1.0
0,0,3504,1.0
0,0,3515,1.0
0,0,3533,1.0
0,0,3545,1.0
0,0,3557,1.0
0,0,3702,1.0
0,0,4104,1.0
0,0,4106,1.0
0,0,4119,1.0
0,0,4306,1.0
0,0,4526,1.0
0,0,4532,1.0
0,0,4720,1.0
0,0,5305,1.0
0,0,5388,1.0
0,0,5434,1.0
0,0,5469,1.0
0,0,5521,1.0
0,0,5522,1.0
0,0,5525,1.0
0,0,6108,1.0
0,0,6112,1.0
0,0,6115,1.0
0,0,6116,1.0
0,0,6120,1.0
0,0,6128,1.0
0,0,6136,1.0
0,0,6139,1.0
0,0,6145,1.0
0,0,6153,1.0
0,0,6166,1.0
0,0,6172,1.0
0,0,6176,1.0
0,0,6192,1.0
0,0,6196,1.0
0,0,6201,1.0
0,0,6205,1.0
0,0,6206,1.0
0,0,6209,1.0
0,0,6216,1.0
0,0,6230,1.0
0,0,6235,1.0
0,0,6239,1.0
0,0,6277,1.0
0,0,6281,1.0
0,0,6282,1.0
0,0,6283,1.0
0,0,6605,1.0
0,0,8021,1.0
0,0,8039,1.0
0,0,8072,1.0
0,0,8081,1.0
0,0,8110,1.0
0,0,8114,1.0
0,0,8249,1.0
0,0,8926,1.0
0,0,8940,1.0
0,0,8996,1.0
0,0,9902,1.0
0,0,9904,1.0
0,0,9905,1.0
0,0,9906,1.0
0,0,9910,1.0
0,0,9914,1.0
0,0,9917,1.0
0,0,9918,1.0
0,0,9921,1.0
0,0,9926,1.0
0,0,9930,1.0
0,0,9931,1.0
0,0,9933,1.0
0,0,9937,1.0
0,0,9938,1.0
0,0,9940,1.0
0,0,9941,1.0
0,0,9945,1.0
0,0,1101,0.875
0,0,1102,0.875
0,0,1203,0.875
0,0,1216,0.875
0,0,1218,0.875
0,0,1303,0.875
0,0,1310,0.875
0,0,1325,0.875
0,0,1410,0.875
0,0,1414,0.875
0,0,1416,0.875
0,0,1418,0.875
0,0,1419,0.875
0,0,1423,0.875
0,0,1437,0.875
0,0,1439,0.875
0,0,1444,0.875
0,0,1447,0.875
0,0,1449,0.875
0,0,1452,0.875
0,0,1454,0.875
0,0,1456,0.875
0,0,1460,0.875
0,0,1465,0.875
0,0,1473,0.875
0,0,1474,0.875
0,0,1517,0.875
0,0,1519,0.875
0,0,1524,0.875
0,0,1530,0.875
0,0,1532,0.875
0,0,1538,0.875
0,0,1539,0.875
0,0,1558,0.875
0,0,1582,0.875
0,0,1583,0.875
